RegionID|RegionName|Coordinates
6197560|Cape Town City Centre, Cape Town, South Africa|-33.90857;18.43414:-33.91032;18.42576:-33.91434;18.42360:-33.91328;18.42057:-33.91202;18.41934:-33.91109;18.41647:-33.90970;18.41430:-33.91291;18.40718:-33.91662;18.40468:-33.92194;18.39811:-33.93342;18.39369:-33.94195;18.39387:-33.94974;18.39408:-33.95105;18.40506:-33.94146;18.45114:-33.93618;18.45122:-33.93097;18.45489:-33.92763;18.44743:-33.92200;18.44852:-33.91131;18.45684:-33.90575;18.43818
6197591|Sihanoukville City Centre, Cambodia|10.66668;103.45310:10.66668;103.55850:10.62520;103.52459:10.58705;103.46786
6197927|Lahe, Hannover, Germany|52.42636;9.81658:52.42614;9.81671:52.42594;9.81671:52.42525;9.81709:52.42478;9.81726:52.42387;9.81724:52.42320;9.81717:52.42161;9.81707:52.41995;9.81702:52.41809;9.81730:52.41725;9.81746:52.41653;9.81764:52.41513;9.81809:52.41479;9.81831:52.41437;9.81836:52.41419;9.81848:52.41410;9.81860:52.41377;9.81875:52.41346;9.81885:52.41319;9.81901:52.41222;9.81938:52.41090;9.81933:52.41059;9.81906:52.41025;9.81877:52.40998;9.81858:52.40965;9.81836:52.40911;9.81803:52.40894;9.81794:52.40886;9.81826:52.40866;9.81886:52.40829;9.81977:52.40783;9.82073:52.40748;9.82138:52.40730;9.82167:52.40776;9.82298:52.40824;9.82452:52.40862;9.82598:52.40896;9.82768:52.40924;9.82961:52.40936;9.83069:52.40924;9.83069:52.40943;9.83389:52.40920;9.83478:52.40918;9.84200:52.40918;9.84579:52.40916;9.84908:52.40915;9.85124:52.40944;9.85100:52.40874;9.85654:52.40869;9.85683:52.40867;9.85713:52.40856;9.85766:52.40846;9.85800:52.40831;9.85818:52.40769;9.85880:52.40757;9.85901:52.40651;9.86132:52.41151;9.87169:52.41120;9.87866:52.41378;9.88071:52.41339;9.88666:52.41566;9.88748:52.41788;9.88838:52.41889;9.88875:52.42032;9.88928:52.42138;9.88938:52.42243;9.88898:52.42220;9.88506:52.42362;9.86637:52.42372;9.86547:52.42389;9.86404:52.42420;9.86125:52.42644;9.85278:52.42660;9.85213:52.42667;9.85166:52.42682;9.85047:52.42485;9.84724:52.42507;9.84642:52.42367;9.84644:52.42180;9.84437:52.42310;9.84277:52.42140;9.84157:52.42089;9.84075:52.42039;9.83862:52.42102;9.83765:52.42159;9.83628:52.42368;9.83439:52.42770;9.82446:52.42940;9.81942:52.42898;9.81916:52.42853;9.81888:52.42791;9.81842:52.42723;9.81781:52.42687;9.81736:52.42649;9.81681
6197932|List, Hannover, Germany|52.38429;9.73528:52.38397;9.73608:52.38369;9.73641:52.38227;9.73772:52.38197;9.73804:52.38215;9.73838:52.38287;9.73968:52.38315;9.74021:52.38393;9.74163:52.38419;9.74220:52.38448;9.74290:52.38487;9.74379:52.38513;9.74450:52.38522;9.74478:52.38527;9.74503:52.38528;9.74522:52.38533;9.74563:52.38547;9.74719:52.38549;9.74772:52.38571;9.74962:52.38616;9.75395:52.38622;9.75390:52.38777;9.75271:52.38791;9.75270:52.38802;9.75273:52.38813;9.75276:52.38829;9.75282:52.38851;9.75290:52.38858;9.75293:52.38863;9.75296:52.38873;9.75302:52.38881;9.75310:52.38892;9.75323:52.38900;9.75336:52.38950;9.75428:52.39018;9.75550:52.39040;9.75590:52.39056;9.75619:52.39143;9.75778:52.39148;9.75791:52.39152;9.75804:52.39156;9.75825:52.39158;9.75845:52.39161;9.75875:52.39163;9.75907:52.39166;9.75944:52.39169;9.75965:52.39175;9.75990:52.39182;9.76013:52.39190;9.76032:52.39324;9.76333:52.39338;9.76367:52.39348;9.76398:52.39359;9.76429:52.39366;9.76457:52.39373;9.76486:52.39381;9.76518:52.39384;9.76540:52.39389;9.76570:52.39393;9.76600:52.39397;9.76634:52.39405;9.76682:52.39411;9.76721:52.39417;9.76754:52.39425;9.76798:52.39429;9.76822:52.39452;9.76904:52.39552;9.77222:52.39738;9.77797:52.39799;9.77983:52.39833;9.78102:52.39849;9.78158:52.39854;9.78172:52.39857;9.78178:52.39863;9.78191:52.39869;9.78200:52.39876;9.78192:52.40007;9.78105:52.40300;9.79161:52.40597;9.79094:52.40609;9.79092:52.40634;9.79087:52.40638;9.78902:52.40641;9.78141:52.40641;9.78129:52.40639;9.77901:52.40607;9.77425:52.40584;9.77066:52.40570;9.76870:52.40562;9.76739:52.40535;9.76309:52.40516;9.76014:52.40503;9.75790:52.40495;9.75395:52.40509;9.75164:52.40555;9.74772:52.40586;9.74590:52.40633;9.74406:52.40674;9.74266:52.40695;9.74195:52.40575;9.74111:52.40562;9.74102:52.40546;9.74095:52.40530;9.74093:52.40484;9.74096:52.40467;9.74098:52.40459;9.74101:52.40436;9.74119:52.40398;9.74155:52.40389;9.74170:52.40285;9.74005:52.40276;9.73995:52.40262;9.73982:52.40255;9.73989:52.40237;9.73999:52.40218;9.74006:52.40193;9.74013:52.40181;9.74016:52.40097;9.74040:52.39907;9.74093:52.39886;9.74101:52.39877;9.74100:52.39868;9.74099:52.39875;9.74045:52.39830;9.74109:52.39825;9.74112:52.39762;9.74126:52.39753;9.74130:52.39630;9.74133:52.39503;9.74124:52.39437;9.74119:52.39365;9.74129:52.39363;9.74107:52.39360;9.74100:52.39176;9.73961:52.39007;9.73845:52.38952;9.73825:52.38895;9.73799:52.38788;9.73747:52.38776;9.73763:52.38770;9.73747:52.38761;9.73728:52.38752;9.73716:52.38742;9.73706:52.38713;9.73678:52.38708;9.73672:52.38704;9.73664:52.38701;9.73651:52.38684;9.73654:52.38670;9.73663:52.38654;9.73639:52.38582;9.73604:52.38470;9.73557
6198729|Stocken, Hannover, Germany|52.42132;9.61886:52.42122;9.61984:52.42098;9.62269:52.42090;9.62449:52.42088;9.62630:52.42089;9.62771:52.42095;9.62938:52.42105;9.63069:52.41980;9.63271:52.41835;9.63499:52.41771;9.63608:52.41706;9.63709:52.41599;9.63887:52.41560;9.63967:52.41539;9.64027:52.41475;9.64240:52.41441;9.64250:52.41414;9.64262:52.41411;9.64265:52.41407;9.64270:52.41401;9.64277:52.41397;9.64280:52.41393;9.64282:52.41389;9.64284:52.41385;9.64284:52.41382;9.64284:52.41378;9.64283:52.41375;9.64283:52.41373;9.64282:52.41367;9.64280:52.41360;9.64276:52.41349;9.64271:52.41346;9.64271:52.41340;9.64270:52.41331;9.64274:52.41337;9.64290:52.41343;9.64306:52.41349;9.64326:52.41356;9.64347:52.41359;9.64360:52.41362;9.64374:52.41365;9.64388:52.41368;9.64400:52.41370;9.64413:52.41372;9.64426:52.41373;9.64438:52.41373;9.64449:52.41374;9.64461:52.41374;9.64473:52.41373;9.64485:52.41372;9.64498:52.41369;9.64515:52.41367;9.64533:52.41363;9.64548:52.41360;9.64563:52.41355;9.64578:52.41351;9.64594:52.41347;9.64608:52.41342;9.64623:52.41336;9.64636:52.41331;9.64649:52.41325;9.64661:52.41319;9.64673:52.41311;9.64686:52.41303;9.64699:52.41295;9.64712:52.41287;9.64725:52.41275;9.64742:52.41264;9.64758:52.41239;9.64788:52.41214;9.64817:52.41174;9.64859:52.41143;9.64891:52.41134;9.64900:52.41118;9.64915:52.41103;9.64930:52.41078;9.64951:52.41053;9.64973:52.41038;9.64983:52.41023;9.64994:52.41010;9.65003:52.40997;9.65011:52.40985;9.65016:52.40974;9.65022:52.40892;9.65048:52.40812;9.65075:52.40785;9.65084:52.40759;9.65093:52.40741;9.65097:52.40723;9.65101:52.40697;9.65104:52.40671;9.65108:52.40656;9.65108:52.40641;9.65108:52.40630;9.65107:52.40620;9.65107:52.40607;9.65105:52.40593;9.65103:52.40580;9.65102:52.40567;9.65102:52.40555;9.65102:52.40543;9.65102:52.40531;9.65104:52.40519;9.65105:52.40503;9.65109:52.40487;9.65114:52.40461;9.65124:52.40433;9.65136:52.40402;9.65149:52.40370;9.65162:52.40362;9.65164:52.40354;9.65166:52.40345;9.65167:52.40335;9.65168:52.40328;9.65167:52.40321;9.65165:52.40314;9.65162:52.40306;9.65160:52.40296;9.65154:52.40286;9.65149:52.40277;9.65142:52.40269;9.65136:52.40260;9.65127:52.40250;9.65119:52.40241;9.65110:52.40232;9.65101:52.40223;9.65091:52.40215;9.65079:52.40205;9.65066:52.40196;9.65052:52.40189;9.65039:52.40182;9.65026:52.40176;9.65012:52.40169;9.64998:52.40163;9.64984:52.40157;9.64970:52.40153;9.64956:52.40148;9.64942:52.40143;9.64927:52.40137;9.64911:52.40131;9.64894:52.40124;9.64877:52.40120;9.64865:52.40115;9.64854:52.40111;9.64847:52.40106;9.64840:52.40100;9.64834:52.40094;9.64828:52.40088;9.64824:52.40082;9.64819:52.40076;9.64815:52.40071;9.64811:52.40064;9.64809:52.40057;9.64806:52.40049;9.64804:52.40042;9.64804:52.40034;9.64803:52.40025;9.64803:52.40023;9.64803:52.40020;9.64804:52.40017;9.64804:52.40014;9.64805:52.40010;9.64807:52.40007;9.64808:52.40003;9.64813:52.39999;9.64817:52.39951;9.64878:52.39902;9.64939:52.39899;9.64942:52.39896;9.64946:52.39892;9.64948:52.39889;9.64951:52.39884;9.64953:52.39879;9.64955:52.39875;9.64957:52.39870;9.64958:52.39866;9.64959:52.39863;9.64960:52.39858;9.64960:52.39854;9.64960:52.39850;9.64959:52.39846;9.64958:52.39825;9.64948:52.39804;9.64939:52.39800;9.64938:52.39797;9.64937:52.39794;9.64937:52.39791;9.64937:52.39787;9.64937:52.39783;9.64936:52.39779;9.64937:52.39774;9.64937:52.39769;9.64938:52.39764;9.64939:52.39759;9.64941:52.39754;9.64943:52.39749;9.64946:52.39744;9.64949:52.39737;9.64954:52.39731;9.64958:52.39726;9.64964:52.39722;9.64969:52.39703;9.64991:52.39686;9.65014:52.39680;9.65019:52.39675;9.65025:52.39669;9.65029:52.39663;9.65034:52.39643;9.65050:52.39624;9.65065:52.39619;9.65070:52.39613;9.65075:52.39608;9.65080:52.39604;9.65086:52.39599;9.65093:52.39595;9.65100:52.39591;9.65106:52.39587;9.65113:52.39585;9.65120:52.39582;9.65127:52.39580;9.65133:52.39577;9.65141:52.39576;9.65148:52.39574;9.65155:52.39573;9.65162:52.39572;9.65170:52.39572;9.65179:52.39572;9.65189:52.39572;9.65196:52.39573;9.65204:52.39573;9.65213:52.39574;9.65223:52.39576;9.65231:52.39577;9.65240:52.39579;9.65248:52.39580;9.65256:52.39583;9.65264:52.39585;9.65272:52.39588;9.65278:52.39591;9.65285:52.39595;9.65292:52.39599;9.65299:52.39603;9.65305:52.39607;9.65311:52.39612;9.65316:52.39616;9.65322:52.39622;9.65327:52.39628;9.65332:52.39635;9.65337:52.39643;9.65342:52.39651;9.65345:52.39659;9.65349:52.39666;9.65352:52.39674;9.65355:52.39683;9.65357:52.39692;9.65360:52.39705;9.65362:52.39719;9.65365:52.39728;9.65366:52.39737;9.65367:52.39749;9.65367:52.39761;9.65367:52.39775;9.65366:52.39790;9.65366:52.39795;9.65364:52.39801;9.65364:52.39807;9.65361:52.39812;9.65358:52.39815;9.65354:52.39819;9.65350:52.39822;9.65344:52.39826;9.65337:52.39829;9.65330:52.39832;9.65324:52.39833;9.65316:52.39836;9.65308:52.39838;9.65298:52.39840;9.65288:52.39841;9.65279:52.39843;9.65270:52.39843;9.65263:52.39844;9.65255:52.39846;9.65238:52.39848;9.65222:52.39849;9.65213:52.39850;9.65203:52.39852;9.65196:52.39853;9.65189:52.39856;9.65182:52.39858;9.65176:52.39861;9.65170:52.39864;9.65163:52.39867;9.65158:52.39870;9.65152:52.39874;9.65147:52.39877;9.65142:52.39882;9.65138:52.39887;9.65134:52.39893;9.65131:52.39899;9.65127:52.39906;9.65124:52.39912;9.65122:52.39919;9.65121:52.39926;9.65119:52.39931;9.65120:52.39937;9.65120:52.39942;9.65121:52.39947;9.65122:52.39952;9.65123:52.39956;9.65125:52.39962;9.65127:52.39968;9.65129:52.39974;9.65132:52.39979;9.65135:52.39984;9.65138:52.39989;9.65141:52.39994;9.65145:52.39998;9.65150:52.40002;9.65155:52.40006;9.65161:52.40009;9.65168:52.40012;9.65174:52.40015;9.65182:52.40017;9.65191:52.40020;9.65200:52.40022;9.65209:52.40023;9.65217:52.40024;9.65226:52.40025;9.65235:52.40026;9.65244:52.40026;9.65253:52.40025;9.65262:52.40025;9.65270:52.40025;9.65279:52.40024;9.65288:52.40023;9.65298:52.40021;9.65308:52.40018;9.65319:52.40014;9.65330:52.40011;9.65342:52.40005;9.65357:52.39999;9.65372:52.39985;9.65396:52.39971;9.65421:52.39966;9.65429:52.39961;9.65438:52.39955;9.65444:52.39950;9.65449:52.39944;9.65454:52.39937;9.65458:52.39931;9.65460:52.39925;9.65463:52.39919;9.65464:52.39911;9.65466:52.39904;9.65467:52.39897;9.65468:52.39888;9.65469:52.39878;9.65470:52.39870;9.65471:52.39861;9.65472:52.39853;9.65473:52.39846;9.65475:52.39839;9.65477:52.39833;9.65479:52.39828;9.65483:52.39823;9.65486:52.39819;9.65491:52.39815;9.65496:52.39812;9.65502:52.39809;9.65509:52.39807;9.65516:52.39805;9.65524:52.39803;9.65534:52.39802;9.65544:52.39801;9.65553:52.39801;9.65562:52.39801;9.65571:52.39801;9.65579:52.39802;9.65589:52.39803;9.65599:52.39805;9.65609:52.39807;9.65619:52.39811;9.65634:52.39814;9.65648:52.39821;9.65667:52.39828;9.65686:52.39844;9.65721:52.39861;9.65756:52.39869;9.65774:52.39876;9.65792:52.39883;9.65807:52.39890;9.65821:52.39894;9.65835:52.39898;9.65849:52.39902;9.65862:52.39905;9.65874:52.39908;9.65886:52.39911;9.65898:52.39912;9.65909:52.39914;9.65920:52.39915;9.65932:52.39916;9.65944:52.39917;9.65958:52.39917;9.65971:52.39917;9.65987:52.39916;9.66003:52.39915;9.66029:52.39914;9.66056:52.39911;9.66087:52.39908;9.66118:52.39905;9.66155:52.39901;9.66193:52.39901;9.66213:52.39900;9.66233:52.39899;9.66254:52.39899;9.66274:52.39898;9.66294:52.39897;9.66314:52.39894;9.66332:52.39892;9.66349:52.39887;9.66376:52.39883;9.66404:52.39877;9.66426:52.39870;9.66448:52.39864;9.66470:52.39856;9.66491:52.39850;9.66508:52.39844;9.66526:52.39838;9.66538:52.39832;9.66550:52.39856;9.66602:52.39918;9.66499:52.39997;9.66386:52.40010;9.66411:52.40014;9.66423:52.40018;9.66438:52.40019;9.66459:52.40013;9.66506:52.40009;9.66514:52.39991;9.66645:52.39993;9.66651:52.39997;9.66654:52.40126;9.66677:52.40135;9.66687:52.40117;9.66721:52.40101;9.66766:52.40088;9.66814:52.40080;9.66829:52.40019;9.66950:52.39969;9.67036:52.40268;9.67103:52.40287;9.67116:52.40520;9.67288:52.40711;9.67432:52.40742;9.67443:52.40829;9.67444:52.40992;9.67443:52.40997;9.67096:52.41002;9.66994:52.41011;9.66952:52.41120;9.66762:52.41130;9.66732:52.41222;9.66494:52.41269;9.66545:52.41286;9.66563:52.41308;9.66588:52.41326;9.66615:52.41335;9.66630:52.41342;9.66648:52.41408;9.66805:52.41418;9.66828:52.41428;9.66841:52.41437;9.66851:52.41449;9.66860:52.41462;9.66867:52.41472;9.66870:52.41482;9.66874:52.41545;9.66870:52.41560;9.66870:52.41556;9.66805:52.41539;9.66495:52.41536;9.66239:52.41542;9.65963:52.41561;9.65676:52.41567;9.65455:52.41562;9.65353:52.41541;9.65216:52.41685;9.65176:52.41977;9.65139:52.42239;9.65067:52.42356;9.65031:52.42435;9.64976:52.42797;9.66791:52.42812;9.66803:52.42830;9.66817:52.42840;9.66825:52.42850;9.66834:52.42860;9.66841:52.42870;9.66848:52.42879;9.66853:52.42888;9.66858:52.42927;9.66873:52.42965;9.66889:52.43029;9.66905:52.43092;9.66921:52.43117;9.66930:52.43143;9.66938:52.43249;9.66332:52.43246;9.66276:52.43243;9.66220:52.43304;9.66211:52.43367;9.66202:52.43363;9.66150:52.43359;9.66099:52.43279;9.65731:52.43199;9.65363:52.43258;9.64966:52.43318;9.64568:52.43323;9.64478:52.43328;9.64387:52.43328;9.64381:52.43328;9.64375:52.43321;9.64376:52.43314;9.64378:52.43296;9.64077:52.43278;9.63776:52.42998;9.63627:52.42915;9.63583:52.42718;9.63478:52.42718;9.63474:52.42718;9.63469:52.42718;9.63053:52.42717;9.62637:52.42628;9.62502:52.42540;9.62367:52.42533;9.62356:52.42526;9.62345:52.42545;9.62313:52.42566;9.62280:52.42370;9.62100:52.42144;9.61897
6200039|Yonge-Eglinton, Toronto, Ontario, Canada|43.70697;-79.40666:43.70340;-79.40520:43.70427;-79.40061:43.70288;-79.40009:43.70502;-79.38885:43.70967;-79.39079
6200216|Antibes City Centre, Antibes, France|43.57944;7.11406:43.57531;7.11928:43.57299;7.12890:43.59106;7.13749:43.59531;7.12433:43.58577;7.11647
6200220|Athens City Centre, Athens, Greece|37.99162;23.71680:37.99490;23.72043:37.99417;23.74271:37.98604;23.76591:37.96531;23.74503:37.96359;23.72553:37.96604;23.71410:37.97786;23.70805
6200293|Caen City Centre, Caen, France|49.18403;-0.37508:49.18855;-0.36634:49.18629;-0.34984:49.17788;-0.34061:49.17163;-0.34638:49.16801;-0.36303:49.17405;-0.37202
6200295|Deauville City Centre, Deauville, France|49.35617;0.06043:49.36388;0.07579:49.36404;0.07971:49.35804;0.08499:49.35122;0.06683:49.35387;0.06147
6200319|Istanbul City Center, Istanbul, Turkey|41.02707;28.91496:40.98685;28.92398:40.99462;28.93550:40.99953;28.97928:41.00651;28.98798:41.01223;28.99001:41.02481;28.98536:41.03842;29.00302:41.05400;28.98545
6200422|Paris City Centre|48.86649;2.28824:48.85345;2.29935:48.83644;2.34009:48.84020;2.36594:48.85255;2.37991:48.88446;2.37559:48.88245;2.34215:48.88482;2.33201:48.88372;2.33002:48.87890;2.30644:48.87875;2.29979:48.87182;2.29522
6200483|Lindenthal, Cologne, Germany|50.94741;6.81145:50.92999;6.82373:50.92606;6.84609:50.91076;6.84586:50.90516;6.86436:50.91168;6.88068:50.90469;6.89419:50.92697;6.93204:50.93677;6.92703:50.93786;6.88388:50.94294;6.88142:50.95161;6.87076:50.95110;6.84908:50.97520;6.85008:50.97630;6.83298
6200767|Ciutat Vella, Valencia, Spain|39.47508;-0.38520:39.46754;-0.38250:39.46592;-0.37762:39.46694;-0.37154:39.47332;-0.36574:39.48008;-0.37392:39.48256;-0.37981:39.48066;-0.38419
6201400|Hardtberg, Bonn, Germany|50.70676;7.02387:50.68848;7.03750:50.68494;7.05359:50.69477;7.06074:50.70679;7.08200:50.71804;7.07773:50.71998;7.06305:50.72481;7.06048:50.71895;7.03978
6202601|Zuglo, Budapest, Hungary|47.51903;19.07268:47.51169;19.08174:47.50671;19.08925:47.50542;19.08749:47.50053;19.09303:47.50086;19.10871:47.49983;19.10894:47.50576;19.16234:47.52708;19.14136:47.53367;19.11805:47.54448;19.09844:47.54472;19.09730:47.52499;19.08889
6202719|Flittard, Cologne, Germany|51.01132;6.96958:51.00005;6.96191:50.98819;6.96747:50.99280;6.98089:50.99518;7.01125:51.01471;7.01439
6202722|Tannenbusch, Bonn, Germany|50.75732;7.03984:50.74668;7.03614:50.73795;7.07266:50.74360;7.07177:50.74372;7.07204:50.74388;7.07213:50.74668;7.07389:50.75014;7.05868
6202955|Bui Thi Xuan, Ho Chi Minh City, Vietnam|10.76534;106.68157:10.75942;106.68406:10.76011;106.68532:10.76792;106.68884:10.77080;106.69297:10.77370;106.68913:10.76866;106.68403
6203096|Da Nang City Centre, Da Nang, Vietnam|16.09307;108.18959:16.06080;108.18960:16.01294;108.21005:16.02625;108.22528:16.03516;108.24804:16.04491;108.24368:16.05835;108.24050:16.07164;108.23991:16.10243;108.24905
6203126|Polk Gulch, San Francisco, California, United States of America|37.79867;-122.42292:37.79236;-122.42157:37.78575;-122.42023:37.78585;-122.41916:37.79246;-122.42052:37.79884;-122.42181
6203131|South Beach, San Francisco, California, United States of America|37.78733;-122.40381:37.77665;-122.39023:37.77844;-122.38165:37.79148;-122.38438:37.79674;-122.39222
6203136|Tenderloin, San Francisco, California, United States of America|37.78586;-122.42111:37.78008;-122.41997:37.78112;-122.41167:37.78421;-122.40792:37.78748;-122.40855
6203147|Bayshore, Miami Beach, Florida, United States of America|25.80463;-80.14920:25.79560;-80.14615:25.79165;-80.14548:25.79162;-80.14433:25.80079;-80.12708:25.80312;-80.12705:25.80537;-80.12669:25.81343;-80.12460:25.81384;-80.13264:25.81091;-80.14070
6203154|Mid Beach, Miami Beach, Florida, United States of America|25.81028;-80.14671:25.80667;-80.14081:25.79675;-80.14117:25.79646;-80.12168:25.84686;-80.11681:25.84674;-80.12253:25.84107;-80.12206:25.82664;-80.12286:25.82622;-80.12551:25.82298;-80.12663:25.82373;-80.13149:25.82660;-80.13432
6203474|Hell's Kitchen, New York, New York, United States of America|40.75765;-74.00658:40.75217;-73.99342:40.76728;-73.98239:40.76834;-73.98492:40.76893;-73.98460:40.76920;-73.98429:40.77363;-73.99516
6203489|Midtown, New York, United States of America|40.77309;-73.99364:40.75844;-73.95762:40.73848;-73.97261:40.75340;-74.00803
6203578|Downtown Santo Domingo, Dominican Republic|18.45717;-69.93882:18.46669;-69.91052:18.48175;-69.91079:18.48306;-69.93417:18.47753;-69.94907
6204820|Old Street, London, England, United Kingdom|51.52371;-0.09862:51.52292;-0.09804:51.52441;-0.09336:51.52530;-0.08729:51.52676;-0.07769:51.52783;-0.07562:51.52855;-0.07678:51.52779;-0.07790:51.52767;-0.07988:51.52622;-0.08786:51.52534;-0.09354
6204961|Bang Na, Bangkok, Thailand|13.66581;100.57706:13.63406;100.64785:13.65752;100.66393:13.68032;100.67073:13.68664;100.63924:13.68954;100.58823
6205123|Stockum, Duesseldorf, Germany|51.27141;6.75946:51.25816;6.76401:51.25357;6.73773:51.26322;6.71344:51.27371;6.71447:51.26912;6.74139:51.27136;6.75060
6206649|Pempelfort, Duesseldorf, Germany|51.23939;6.76637:51.24173;6.78016:51.24745;6.79450:51.23610;6.79675:51.23338;6.79303:51.23231;6.76994
6207110|Nakasu, Fukuoka, Japan|33.59127;130.40668:33.58853;130.40985:33.59181;130.40994:33.59250;130.40974:33.59325;130.40828:33.59524;130.40413:33.59383;130.40225
6207115|Tenjin, Fukuoka, Japan|33.59378;130.40221:33.59947;130.39905:33.59888;130.39841:33.59583;130.39684:33.59459;130.39410:33.58648;130.39755:33.58918;130.40384:33.59031;130.40393
6207970|Claydesta Plaza, Midland, Texas, United States of America|32.03516;-102.09576:32.02688;-102.09323:32.02886;-102.08259:32.03907;-102.08574:32.03883;-102.08856:32.03738;-102.08905
6208201|Central North, Cuiaba, Brazil|-15.59547;-56.10285:-15.59754;-56.10269:-15.59635;-56.10064:-15.60092;-56.09682:-15.59731;-56.09318:-15.59597;-56.09263:-15.59362;-56.09272:-15.59290;-56.09251:-15.58983;-56.09623:-15.58739;-56.09782
6209153|Guarituba, Brazil|-25.45982;-49.17340:-25.46238;-49.17023:-25.45595;-49.16684:-25.45905;-49.15907:-25.44572;-49.13898:-25.44459;-49.13924:-25.44076;-49.14911:-25.44362;-49.15383:-25.45203;-49.16958
6209169|Kata Beach, Karon, Thailand|7.82641;98.28847:7.80257;98.29697:7.80149;98.29977:7.80331;98.30288:7.81197;98.30212:7.81537;98.31122:7.81810;98.31458:7.82791;98.30654:7.83043;98.30443:7.82801;98.30383:7.82557;98.30159:7.82650;98.29825:7.82621;98.29446:7.82885;98.29166
6209488|Lake Nona, Orlando, Florida, United States of America|28.36265;-81.30959:28.36356;-81.28454:28.35524;-81.26991:28.36378;-81.24457:28.40414;-81.24397:28.41934;-81.24430:28.42879;-81.25687:28.43235;-81.25748:28.43190;-81.27998:28.38206;-81.30803
6209538|Playacar, Playa del Carmen, Quintana Roo, Mexico|20.61894;-87.07232:20.62162;-87.07661:20.62417;-87.08717:20.61135;-87.10367:20.59826;-87.09087
6209765|Sydhavnen, Copenhagen, Denmark|55.63500;12.53996:55.64308;12.53170:55.65587;12.54377:55.65790;12.55612:55.65665;12.56283:55.64365;12.55403
6209916|La Doua, Villeurbanne, France|45.77950;4.85966:45.77896;4.86657:45.77626;4.86722:45.77605;4.87112:45.77653;4.87413:45.77946;4.87503:45.78219;4.87683:45.78506;4.88992:45.78345;4.89181:45.78458;4.89322:45.78719;4.89163:45.78928;4.88803:45.79362;4.88387:45.79482;4.88005:45.79464;4.87799:45.79255;4.87524:45.78701;4.86734:45.78668;4.86035
6209983|Batel, Curitiba, Brazil|-25.44043;-49.29971:-25.45000;-49.29485:-25.44318;-49.27566:-25.44144;-49.27645:-25.44189;-49.27769:-25.43899;-49.27910:-25.43556;-49.28280:-25.43441;-49.28363
6210465|Central District, Granada, Spain|37.17891;-3.60850:37.17355;-3.60534:37.17152;-3.60317:37.16630;-3.60158:37.16802;-3.59641:37.16923;-3.59379:37.16921;-3.59278:37.16897;-3.59192:37.17334;-3.58593:37.17832;-3.59006:37.17632;-3.59591:37.17750;-3.59774:37.17944;-3.59891:37.18277;-3.59921:37.18332;-3.60273
6210474|Distrito Ronda, Granada, Spain|37.19253;-3.68101:37.18963;-3.67678:37.18654;-3.67261:37.18426;-3.67130:37.17247;-3.64821:37.17083;-3.64857:37.16843;-3.64374:37.16317;-3.62795:37.16179;-3.62184:37.16144;-3.61887:37.16120;-3.61655:37.15700;-3.61289:37.15589;-3.61196:37.16090;-3.60447:37.16390;-3.60035:37.16626;-3.60158:37.17152;-3.60318:37.17353;-3.60537:37.17889;-3.60850:37.18491;-3.61327:37.18654;-3.62246:37.18310;-3.62531:37.18818;-3.64340:37.19142;-3.65204:37.19150;-3.66346:37.19233;-3.66851
6210524|Beiro, Granada, Spain|37.18482;-3.61321:37.17888;-3.60851:37.18336;-3.60275:37.18272;-3.59931:37.18391;-3.59182:37.18257;-3.58926:37.18702;-3.58480:37.19175;-3.58773:37.19057;-3.60001:37.19557;-3.60109:37.19451;-3.60436:37.19084;-3.61087
6210530|Norte, Granada, Spain|37.20673;-3.62630:37.18682;-3.61246:37.19083;-3.61084:37.19447;-3.60443:37.19553;-3.60109:37.19058;-3.60000:37.19181;-3.58781:37.20862;-3.57792:37.20866;-3.59080:37.21136;-3.60348:37.21469;-3.60368:37.20974;-3.62360
6210538|Chana, Granada, Spain|37.18491;-3.61321:37.18682;-3.61243:37.20676;-3.62633:37.20060;-3.63278:37.19875;-3.64581:37.18827;-3.64334:37.18317;-3.62532:37.18655;-3.62247
6210544|Zaidin, Granada, Spain|37.15585;-3.61195:37.15236;-3.60514:37.14972;-3.59637:37.15225;-3.59077:37.15800;-3.59509:37.15908;-3.59516:37.15897;-3.59279:37.16301;-3.59198:37.16526;-3.59374:37.16418;-3.59617:37.16692;-3.59768:37.16390;-3.60036:37.16090;-3.60444
6210554|Genil, Granada, Spain|37.17165;-3.58809:37.16897;-3.59193:37.16921;-3.59282:37.16923;-3.59378:37.16801;-3.59643:37.16748;-3.59802:37.16417;-3.59616:37.16526;-3.59374:37.16301;-3.59198:37.15897;-3.59280:37.15909;-3.59516:37.15801;-3.59509:37.15173;-3.59039:37.15218;-3.58076:37.15465;-3.57435:37.15589;-3.56768:37.16551;-3.56585:37.17524;-3.58353
6210701|Sacromonte, Granada, Spain|37.18256;-3.58927:37.17928;-3.58802:37.18104;-3.58414:37.18065;-3.57934:37.18534;-3.58050:37.18514;-3.58669
6211177|Hoechst, Frankfurt, Germany|50.09830;8.52676:50.08877;8.53382:50.09325;8.54313:50.09917;8.55141:50.10065;8.56376:50.10217;8.56552:50.10608;8.56514:50.10185;8.53728
